,Plant Name,Other Names,Plant Type,Plant Size,Growing Zones,Rainfall,Summer Rainfall,Sun,Moisture,Soil,Coldest Month,Hottest Month,Cold Tolerance,Humidity,Elevation,Uses,Flower Color,Ease of Care,Sightings,Image,Calscape url
1,Sisyrinchium bellum,"Common Names: Blue-eyed-grass, Western Blue-eyed Grass",Perennial herb,1 - 2 ft tall3 in wide,,"2.3"" - 152.5""","0.14"" - 5.67""","Full Sun, Part Shade",Low,Tolerant of sand and clay. Soil PH: 5 . 0 - 8 . 0," 20.2"" - 61.0"""," 45.6"" - 90.5""",Tolerates cold to 0° ; F,"0.09"" - 48.67""","-166"" - 10141""","Groundcovers, Deer Resistant, Butterfly Gardens","Blue,  Lavender,  Purple",Very Easy,11763,https://inaturalist-open-data.s3.amazonaws.com/photos/3188172/small.JPG,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Sisyrinchium-bellum-(Blue-Eyed-Grass)?srchcr=sc61b19638da777"
2,Salvia spathacea,Common Names: Crimson Sage,Perennial herb,1 - 3 ft tall3 ft wide,,"7.6"" - 35.1""","0.14"" - 0.60""","Full Shade, Part Shade",Very Low,Tolerates a variety of soils. Soil PH: 5.0 - 7.0," 40.2"" - 55.0"""," 63.0"" - 78.5""",Tolerates cold to 0° F,"0.47"" - 26.03""","2"" - 3927""","Groundcovers, Deer Resistant, Hummingbird Gardens, Bird Gardens, Butterfly Gardens, Bee Gardens","Pink,  Red",Very Easy,3165,https://inaturalist-open-data.s3.amazonaws.com/photos/33521431/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Salvia-spathacea-(Hummingbird-Sage)?srchcr=sc61b19638da777"
3,Quercus agrifolia,Common Names: California Live Oak,Tree,25 - 82 ft tall15 - 35 ft wide,,"5.7"" - 66.6""","0.14"" - 3.04""","Full Sun, Part Shade",Low,"Tolerates a variety of soils but prefers a deep, well draining loam which it usually develops over time from leaf drop. Soil PH: 4.0 - 8.0"," 36.8"" - 56.8"""," 58.0"" - 85.4""",Tolerates cold to 15° F,"0.41"" - 36.26""","2"" - 7280""","Bank Stabilization, Hedges, Deer Resistant, Bird Gardens, Butterfly Gardens","Yellow,  Cream,  Green",Very Easy,24158,https://inaturalist-open-data.s3.amazonaws.com/photos/18734097/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Quercus-agrifolia-(Coast-Live-Oak)?srchcr=sc61b19638da777"
4,Epilobium canum,"Botanical Names: Zauschneria californica,Zauschneria canumCommon Names: Hummingbird Trumpet",Perennial herb,0.25 - 1.5 ft tall2-3 ft wide,,"2.7"" - 124.0""","0.14"" - 4.46""",Full Sun,"Very Low, Low",Tolerates clay and sand. Tolerates Serpentine Soil. Soil PH: 6.0 - 8.0," 19.7"" - 59.6"""," 41.1"" - 88.1""",Tolerates cold to 0° F,"0.28"" - 40.93""","-714"" - 12228""","Groundcovers, Deer Resistant, Bird Gardens, Hummingbird Gardens, Butterfly Gardens",Red,"Very Easy, Moderately Easy",8528,https://inaturalist-open-data.s3.amazonaws.com/photos/5301/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Epilobium-canum-(California-Fuchsia)?srchcr=sc61b19638da777"
5,Dudleya pulverulenta,"Botanical Names: Dudleya pulverulenta ssp. pulverulentaCommon Names: Chalk Lettuce, Chalk Liveforever","Perennial herb, Succulent",0.33 - 1 ft tall1 ft wide,,"4.6"" - 32.7""","0.14"" - 2.84""","Part Shade, Full Sun",Very Low,Tolerant of a variety of garden soils as long as rocks are added and some slope is provided. Soil PH: 5.0 - 8.0," 39.3"" - 57.7"""," 66.0"" - 85.0""",Tolerates cold to 20° F,"0.47"" - 35.99""","3"" - 6112""","Deer Resistant, Bird Gardens, Hummingbird Gardens, Butterfly Gardens","Orange,  Pink,  Red",Very Easy,4081,https://inaturalist-open-data.s3.amazonaws.com/photos/99592/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Dudleya-pulverulenta-(Chalk-Dudleya)?srchcr=sc61b19638da777"
6,Penstemon spectabilis,,Perennial herb,2 - 4 ft tall3 - 4 ft wide,"['USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","4.5"" - 49.8""","0.17"" - 3.55""",Full Sun,Very Low,Performs best and lives longest in well drained soil. Soil PH: 6.0 - 7.5," 27.1"" - 55.4"""," 52.9"" - 81.0""",Tolerates cold to 0° F,"1.04"" - 32.06""","221"" - 10493""","Deer Resistant, Bird Gardens, Hummingbird Gardens, Butterfly Gardens, Bee Gardens","Blue,  Pink,  Purple",Moderately Easy,2054,https://inaturalist-open-data.s3.amazonaws.com/photos/37490/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Penstemon-spectabilis-(Showy-Penstemon)?srchcr=sc61b19638da777"
7,Muhlenbergia rigens,Common Names: Deer Muhly,Grasses,4 - 5 ft tall4 ft wide,,"4.1"" - 61.8""","0.14"" - 2.83""",Full Sun,Low,Tolerant of sand and clay. Tolerates Serpentine Soil. Soil PH: 5.0 - 8.0," 32.3"" - 60.5"""," 55.0"" - 87.5""",,"0.46"" - 40.07""","14"" - 7694""","Groundcovers, Deer Resistant","Yellow,  Cream",Very Easy,2493,https://inaturalist-open-data.s3.amazonaws.com/photos/78485399/small.jpeg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Muhlenbergia-rigens-(Deergrass)?srchcr=sc61b19638da777"
8,Populus fremontii,,Tree,39.4 - 114.8 ft tall35 ft wide,,"2.5"" - 75.8""","0.14"" - 2.54""",Full Sun,Moderate - High,Accepts either sandy or clay soil as long as there is sufficient water. Tolerates Saline Soil. Soil PH: 6.0 - 8.0," 29.9"" - 62.1"""," 58.4"" - 89.5""",Tolerates cold to 5° F,"0.46"" - 47.01""","-190"" - 7224""","Bird Gardens, Butterfly Gardens","White,  Cream",Very Easy,8613,https://static.inaturalist.org/photos/64301085/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Populus-fremontii-(Fremont-Cottonwood)?srchcr=sc61b19638da777"
9,Corethrogyne filaginifolia,"Botanical Names: Lessingia filaginifolia var. californica,Lessingia filaginifolia var. filaginifolia,Lessingia filaginifolia,Corethrogyne filaginifolia var. filaginifolia,Corethrogyne filaginifolia var. linifolia,Corethrogyne filaginifolia var. incana,Corethrogyne leucophyllaCommon Names: California Sandaster, Common Sandaster, Del Mar Mesa Sand Aster, Del Mar Mesa Sandaster",Perennial herb,0.7 - 3.3 ft tall1 - 6 ft wide,"['USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","5.2"" - 103.7""","0.14"" - 2.83""","Full Sun, Part Shade",Very Low,Tolerant of sand and clay. Soil PH: 6.0 - 8.0," 23.4"" - 57.1"""," 46.2"" - 84.2""",,"0.04"" - 34.96""","-228"" - 10807""","Groundcovers, Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","Pink,  Purple,  White",Moderately Easy,4748,https://static.inaturalist.org/photos/589392/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Corethrogyne-filaginifolia-(California-Aster)?srchcr=sc61b19638da777"
10,Heteromeles arbutifolia,"Common Names: California Holly, Christmas Berry",Shrub,6 - 30 ft tall10 - 15 ft wide,,"7.0"" - 128.0""","0.13"" - 3.90""","Full Sun, Part Shade",Low,Tolerant of a variety of soils. Tolerates Serpentine Soil. Soil PH: 5.0 - 8.0," 33.5"" - 57.4"""," 53.5"" - 80.4""",Tolerates cold to -5° F,"0.22"" - 27.39""","0"" - 7419""","Bank Stabilization, Hedges, Deer Resistant, Bird Gardens, Butterfly Gardens",White,Very Easy,20750,https://inaturalist-open-data.s3.amazonaws.com/photos/2900086/small.jpg,"https://calscape.org/loc-34.0749,-118.3082 (90004)/Heteromeles-arbutifolia-(Toyon)?srchcr=sc61b19638da777"
