,Plant Name,Other Names,Plant Type,Plant Size,Growing Zones,Rainfall,Summer Rainfall,Sun,Moisture,Soil,Coldest Month,Hottest Month,Cold Tolerance,Humidity,Elevation,Uses,Flower Color,Ease of Care,Sightings,Image,Calscape url
1,Arctostaphylos glauca,"Common Names: Big-berry Manzanita, Bigberry Manzanita",Shrub,3.3 - 20 ft tall6 - 20 ft wide,,"5.3"" - 52.5""","0.14"" - 3.18""",Full Sun,Low,"Can tolerate heavy soil on slopes but does best in well drained soil. Tolerates Serpentine Soil,Tolerates Sodic Soil. Soil PH: 6.0 - 8.0"," 31.9"" - 54.5"""," 53.1"" - 84.5""",Tolerates cold to 0° F,"0.45"" - 36.25""","24"" - 9849""","Hedges, Deer Resistant, Bird Gardens, Hummingbird Gardens, Bee Gardens","White,  Pink",Moderately Easy,3692,https://inaturalist-open-data.s3.amazonaws.com/photos/5822902/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Arctostaphylos-glauca-(Big-Berry-Manzanita)?srchcr=sc61b191e9dcb54"
2,Sisyrinchium bellum,"Common Names: Blue-eyed-grass, Western Blue-eyed Grass",Perennial herb,1 - 2 ft tall3 in wide,,"2.3"" - 152.5""","0.14"" - 5.67""","Full Sun, Part Shade",Low,Tolerant of sand and clay. Soil PH: 5 . 0 - 8 . 0," 20.2"" - 61.0"""," 45.6"" - 90.5""",Tolerates cold to 0° ; F,"0.09"" - 48.67""","-166"" - 10141""","Groundcovers, Deer Resistant, Butterfly Gardens","Blue,  Lavender,  Purple",Very Easy,11763,https://inaturalist-open-data.s3.amazonaws.com/photos/3188172/small.JPG,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Sisyrinchium-bellum-(Blue-Eyed-Grass)?srchcr=sc61b191e9dcb54"
3,Salvia spathacea,Common Names: Crimson Sage,Perennial herb,1 - 3 ft tall3 ft wide,,"7.6"" - 35.1""","0.14"" - 0.60""","Full Shade, Part Shade",Very Low,Tolerates a variety of soils. Soil PH: 5.0 - 7.0," 40.2"" - 55.0"""," 63.0"" - 78.5""",Tolerates cold to 0° F,"0.47"" - 26.03""","2"" - 3927""","Groundcovers, Deer Resistant, Hummingbird Gardens, Bird Gardens, Butterfly Gardens, Bee Gardens","Pink,  Red",Very Easy,3165,https://inaturalist-open-data.s3.amazonaws.com/photos/33521431/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Salvia-spathacea-(Hummingbird-Sage)?srchcr=sc61b191e9dcb54"
4,Epilobium canum,"Botanical Names: Zauschneria californica,Zauschneria canumCommon Names: Hummingbird Trumpet",Perennial herb,0.25 - 1.5 ft tall2-3 ft wide,,"2.7"" - 124.0""","0.14"" - 4.46""",Full Sun,"Very Low, Low",Tolerates clay and sand. Tolerates Serpentine Soil. Soil PH: 6.0 - 8.0," 19.7"" - 59.6"""," 41.1"" - 88.1""",Tolerates cold to 0° F,"0.28"" - 40.93""","-714"" - 12228""","Groundcovers, Deer Resistant, Bird Gardens, Hummingbird Gardens, Butterfly Gardens",Red,"Very Easy, Moderately Easy",8528,https://inaturalist-open-data.s3.amazonaws.com/photos/5301/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Epilobium-canum-(California-Fuchsia)?srchcr=sc61b191e9dcb54"
5,Dudleya pulverulenta,"Botanical Names: Dudleya pulverulenta ssp. pulverulentaCommon Names: Chalk Lettuce, Chalk Liveforever","Perennial herb, Succulent",0.33 - 1 ft tall1 ft wide,,"4.6"" - 32.7""","0.14"" - 2.84""","Part Shade, Full Sun",Very Low,Tolerant of a variety of garden soils as long as rocks are added and some slope is provided. Soil PH: 5.0 - 8.0," 39.3"" - 57.7"""," 66.0"" - 85.0""",Tolerates cold to 20° F,"0.47"" - 35.99""","3"" - 6112""","Deer Resistant, Bird Gardens, Hummingbird Gardens, Butterfly Gardens","Orange,  Pink,  Red",Very Easy,4081,https://inaturalist-open-data.s3.amazonaws.com/photos/99592/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Dudleya-pulverulenta-(Chalk-Dudleya)?srchcr=sc61b191e9dcb54"
6,Corethrogyne filaginifolia,"Botanical Names: Lessingia filaginifolia var. californica,Lessingia filaginifolia var. filaginifolia,Lessingia filaginifolia,Corethrogyne filaginifolia var. filaginifolia,Corethrogyne filaginifolia var. linifolia,Corethrogyne filaginifolia var. incana,Corethrogyne leucophyllaCommon Names: California Sandaster, Common Sandaster, Del Mar Mesa Sand Aster, Del Mar Mesa Sandaster",Perennial herb,0.7 - 3.3 ft tall1 - 6 ft wide,"['USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","5.2"" - 103.7""","0.14"" - 2.83""","Full Sun, Part Shade",Very Low,Tolerant of sand and clay. Soil PH: 6.0 - 8.0," 23.4"" - 57.1"""," 46.2"" - 84.2""",,"0.04"" - 34.96""","-228"" - 10807""","Groundcovers, Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","Pink,  Purple,  White",Moderately Easy,4748,https://static.inaturalist.org/photos/589392/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Corethrogyne-filaginifolia-(California-Aster)?srchcr=sc61b191e9dcb54"
7,Heteromeles arbutifolia,"Common Names: California Holly, Christmas Berry",Shrub,6 - 30 ft tall10 - 15 ft wide,,"7.0"" - 128.0""","0.13"" - 3.90""","Full Sun, Part Shade",Low,Tolerant of a variety of soils. Tolerates Serpentine Soil. Soil PH: 5.0 - 8.0," 33.5"" - 57.4"""," 53.5"" - 80.4""",Tolerates cold to -5° F,"0.22"" - 27.39""","0"" - 7419""","Bank Stabilization, Hedges, Deer Resistant, Bird Gardens, Butterfly Gardens",White,Very Easy,20750,https://inaturalist-open-data.s3.amazonaws.com/photos/2900086/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Heteromeles-arbutifolia-(Toyon)?srchcr=sc61b191e9dcb54"
8,Cornus sericea ssp. sericea,"Botanical Names: Cornus stoloniferaCommon Names: American Dogwood, Redosier Dogwood",Shrub,4 - 15 ft tall12 ft wide,"['USDA Zone 4a: to -34.4 °C (-30 °F)', 'USDA Zone 4b: to -31.6 °C (-25 °F)', 'USDA Zone 5a: to -28.8 °C (-20 °F)', 'USDA Zone 5b: to -26.1 °C (-15 °F)', 'USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)']","4.7"" - 155.6""","0.16"" - 5.84""",Part Shade,Moderate - High,Tolerates clay soil. Tolerates Serpentine Soil. Soil PH: 4.0 - 7.0," 23.3"" - 55.8"""," 47.4"" - 79.3""",Tolerates cold to 0° F,"0.09"" - 30.26""","-12"" - 10329""","Bird Gardens, Butterfly Gardens","White,  Red",,26483,https://static.inaturalist.org/photos/16633753/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Cornus-sericea-ssp.-sericea-(Creek-Dogwood)?srchcr=sc61b191e9dcb54"
9,Platanus racemosa,"Common Names: Aliso, California Plane, California Sycamore",Tree,20 - 115 ft tall50 ft wide,,"3.8"" - 57.7""","0.15"" - 2.31""",Full Sun,Moderate - High,Tolerates sand and clay. Soil PH: 5.0 - 8.0," 24.6"" - 59.1"""," 45.5"" - 87.7""",Tolerates cold to 10° F,"0.47"" - 38.56""","-6"" - 11310""","Deer Resistant, Bird Gardens, Butterfly Gardens","Yellow,  Cream,  Orange,  Brown",Very Easy,10441,https://inaturalist-open-data.s3.amazonaws.com/photos/38512081/small.jpg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Platanus-racemosa-(Western-Sycamore)?srchcr=sc61b191e9dcb54"
10,Sambucus nigra ssp. caerulea,"Botanical Names: Sambucus mexicanaCommon Names: Common Elderberry, Mexican Elderberry","Shrub, Tree",20 - 30 ft tall20 - 30 ft wide,"['USDA Zone 3a:  to -39.9 °C (-40 °F)', 'USDA Zone 3b: to -37.2 °C (-35 °F)', 'USDA Zone 4a: to -34.4 °C (-30 °F)', 'USDA Zone 4b: to -31.6 °C (-25 °F)', 'USDA Zone 5a: to -28.8 °C (-20 °F)', 'USDA Zone 5b: to -26.1 °C (-15 °F)', 'USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)']","4.7"" - 153.6""","0.15"" - 5.67""","Full Shade,  Part Shade,  Full Sun",Low,Tolerates a variety of soils but prefers well-drained soils with moisture. Soil PH: 6.0 - 7.0," 24.3"" - 57.2"""," 47.0"" - 80.8""",Tolerates cold to 5° ; F,"0.01"" - 31.90""","-221"" - 10519""","Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","Cream,  Yellow,  Purple",,22182,https://inaturalist-open-data.s3.amazonaws.com/photos/81564732/small.jpeg,"https://calscape.org/loc-34.0328,-118.7038 (90263)/Sambucus-nigra-ssp.-caerulea-(Blue-Elderberry)?srchcr=sc61b191e9dcb54"
